,Open,High,Low,Close,Volume,Returns,Avg_Daily_Return,Volatility,Key_Point,fetch_timestamp
2025-09-03 22:45:00+05:30,112380.32,112485.28,112300.0,112448.7,118.04642,0.0006083804879377652,0.0004215646142464169,0.0029434251531262785,False,2025-09-03 22:45:00+05:30
2025-09-03 23:00:00+05:30,112448.71,112469.79,112261.36,112297.91,179.49092,-0.0013409670365241988,0.00047017893203801786,0.002903639297791616,True,2025-09-03 23:00:00+05:30
2025-09-03 23:15:00+05:30,112297.92,112575.27,112259.05,112312.64,152.36559,0.0001311689594223342,0.0005414440142053334,0.00287541173533648,False,2025-09-03 23:15:00+05:30
2025-09-03 23:30:00+05:30,112312.64,112516.35,112257.4,112382.82,161.58369,0.0006248628827529856,0.00046733400116824586,0.0028519412583037644,False,2025-09-03 23:30:00+05:30
2025-09-03 23:45:00+05:30,112382.81,112388.0,112121.58,112136.54,139.61657,-0.002191438157540526,0.00035846261163887115,0.00291220776512228,True,2025-09-03 23:45:00+05:30
2025-09-04 00:00:00+05:30,112136.53,112136.54,111842.84,111885.48,93.80084,-0.002238877711047582,9.88330196631082e-05,0.0029000982115238456,True,2025-09-04 00:00:00+05:30
2025-09-04 00:15:00+05:30,111885.48,112000.0,111800.0,112000.0,70.80195,0.001023546576374379,0.0002388273491938986,0.0028722600316792505,True,2025-09-04 00:15:00+05:30
2025-09-04 00:30:00+05:30,112000.0,112000.0,111815.29,111815.29,68.15424,-0.001649196428571531,0.00026976059403566177,0.0028470639027765093,True,2025-09-04 00:30:00+05:30
2025-09-04 00:45:00+05:30,111815.3,111947.48,111781.63,111917.7,66.97149,0.0009158854750543899,0.00021593002650210913,0.0028228521140789714,True,2025-09-04 00:45:00+05:30
2025-09-04 01:00:00+05:30,111917.71,111996.8,111792.5,111859.81,45.96416,-0.0005172550901242357,-0.0002729999204840516,0.0018544170090299878,False,2025-09-04 01:00:00+05:30
2025-09-04 01:15:00+05:30,111859.82,112252.33,111842.84,112193.74,131.52046,0.0029852544895259125,-2.8330167361018122e-05,0.001947787645258367,True,2025-09-04 01:15:00+05:30
2025-09-04 01:30:00+05:30,112193.74,112250.0,112094.43,112113.69,58.58859,-0.0007134979188678781,-1.7485631387703648e-06,0.0019338859009867806,True,2025-09-04 01:30:00+05:30
2025-09-04 01:45:00+05:30,112113.69,112137.17,112052.1,112127.16,47.31858,0.00012014589832864964,7.721078320682695e-05,0.0019032499109219274,False,2025-09-04 01:45:00+05:30
2025-09-04 02:00:00+05:30,112127.17,112165.92,112080.0,112125.19,52.01533,-1.7569338240597254e-05,-8.53399179358949e-05,0.0017523452025222626,False,2025-09-04 02:00:00+05:30
2025-09-04 02:15:00+05:30,112125.19,112211.31,112125.18,112211.31,71.23613,0.0007680700474175239,-3.636027682224485e-06,0.0017521252695931841,True,2025-09-04 02:15:00+05:30
2025-09-04 02:30:00+05:30,112211.3,112250.0,112139.37,112139.37,42.18574,-0.0006411118451429276,-1.5758048543768056e-05,0.0017558368799252917,True,2025-09-04 02:30:00+05:30
2025-09-04 02:45:00+05:30,112139.38,112180.0,112045.73,112092.95,40.45813,-0.00041394917770620765,5.8041631047267564e-05,0.0017031450749782709,True,2025-09-04 02:45:00+05:30
2025-09-04 03:00:00+05:30,112092.96,112107.02,111798.08,111864.95,51.23695,-0.0020340262255565955,6.009950592945068e-05,0.0017004546232618908,True,2025-09-04 03:00:00+05:30
2025-09-04 03:15:00+05:30,111864.95,112021.25,111759.5,111989.67,48.40724,0.0011149157980225866,5.989974532313869e-05,0.0017003239227028084,True,2025-09-04 03:15:00+05:30
2025-09-04 03:30:00+05:30,111989.68,112110.11,111980.24,112096.27,63.10427,0.0009518735076190499,-0.00012568924034333517,0.0013346226175939085,True,2025-09-04 03:30:00+05:30
2025-09-04 03:45:00+05:30,112096.27,112150.0,111953.24,111955.62,48.16745,-0.0012547250680152722,-0.00021884451814098703,0.0013456643539243103,True,2025-09-04 03:45:00+05:30
2025-09-04 04:00:00+05:30,111955.62,111955.63,111874.46,111919.99,35.56676,-0.0003182511070010108,-0.00016770872166482764,0.0013199653872066652,False,2025-09-04 04:00:00+05:30
2025-09-04 04:15:00+05:30,111919.99,111979.99,111839.86,111947.48,30.89616,0.00024562189471244444,-0.00016198607490032214,0.0013215764749067512,False,2025-09-04 04:15:00+05:30
2025-09-04 04:30:00+05:30,111947.47,111980.0,111842.84,111864.67,43.76315,-0.0007397218767228875,-0.00023021531287411578,0.0013140188654772026,True,2025-09-04 04:30:00+05:30
2025-09-04 04:45:00+05:30,111864.68,111936.78,111775.21,111808.84,91.63111,-0.0004990851892737735,-0.00014559766446077814,0.0012330740156489435,True,2025-09-04 04:45:00+05:30
2025-09-04 05:00:00+05:30,111808.85,111845.05,111613.98,111656.4,75.55028,-0.0013633984575817104,-0.00010182370178748456,0.0011687116896153707,True,2025-09-04 05:00:00+05:30
2025-09-04 05:15:00+05:30,111656.41,111750.0,111646.5,111705.71,148.12763,0.00044162269247460806,-0.00013091989598247312,0.001146247819387523,True,2025-09-04 05:15:00+05:30
2025-09-04 05:30:00+05:30,111705.72,111777.87,111619.86,111730.44,117.4879,0.0002213852810208916,-3.739081050285198e-05,0.0010908181072089166,True,2025-09-04 05:30:00+05:30
